,State_Name,County_Name,"Mining, quarrying, and oil and gas extraction"
0,Texas,Harris,462454056.0
1,Oklahoma,Oklahoma,218238355.0
2,Alaska,North Slope,208028429.0
3,California,Kern,204309819.0
4,Texas,Midland,157112911.0
5,Oklahoma,Tulsa,103811159.0
6,Texas,Karnes,90975117.0
7,Colorado,Weld,85411100.0
8,Wyoming,Campbell,78464055.0
9,Texas,Tarrant,76830400.0
10,Oklahoma,Washington,74655229.0
11,Texas,Ector,71488020.0
12,Texas,Martin,69621525.0
13,Texas,Reeves,69458443.0
14,Texas,Upton,67083294.0
15,Texas,Webb,64340715.0
16,Texas,La Salle,63694707.0
17,Texas,Andrews,62786577.0
18,Texas,DeWitt,55372926.0
19,Texas,Dallas,53540618.0
20,New Mexico,Eddy,52671334.0
21,New Mexico,Lea,52474944.0
22,Texas,Gaines,50439318.0
23,Texas,Yoakum,49408569.0
24,Texas,Loving,49076166.0
25,Texas,Pecos,49021754.0
26,Texas,Panola,45377071.0
27,Texas,Reagan,44757300.0
28,California,Los Angeles,44326842.0
29,Texas,Howard,43427365.0
30,New Mexico,San Juan,43409817.0
31,Texas,Ward,43314759.0
32,Texas,Dimmit,43214205.0
33,Louisiana,Lafayette,43213639.0
34,Colorado,Denver,40561155.0
35,Pennsylvania,Greene,39685782.0
36,Texas,Glasscock,38638325.0
37,Texas,Gonzales,37186754.0
38,Texas,McMullen,36503318.0
39,Texas,Johnson,35931693.0
40,Texas,Hockley,35544106.0
41,Wyoming,Sweetwater,35325233.0
42,Louisiana,De Soto,35052609.0
43,Texas,Wise,34467924.0
44,Texas,Scurry,33917340.0
45,North Dakota,Williams,33514698.0
46,Texas,Zapata,33228146.0
47,Wyoming,Sublette,33079827.0
48,Louisiana,Terrebonne,32964511.0
49,Louisiana,Plaquemines,32369294.0
50,Nevada,Eureka,32276304.0
51,Texas,Hidalgo,31352074.0
52,Texas,Freestone,31134041.0
53,Colorado,Garfield,30378478.0
54,Texas,Robertson,28952869.0
55,Texas,Roberts,27968434.0
56,Arizona,Greenlee,27835003.0
57,Texas,Crockett,26111590.0
58,Texas,Denton,26049384.0
59,North Dakota,McKenzie,26000667.0
60,Pennsylvania,Washington,25599367.0
61,Arizona,Maricopa,24865145.0
62,Texas,Crane,24465295.0
63,Texas,Atascosa,24313840.0
64,Minnesota,St. Louis,23890780.0
65,Colorado,La Plata,23453775.0
66,Texas,Rusk,23210696.0
67,Texas,Gregg,23208050.0
68,Utah,Salt Lake,22922060.0
69,Texas,Harrison,21856080.0
70,Texas,Fort Bend,21572297.0
71,Texas,Montgomery,20651779.0
72,Texas,Wheeler,20573221.0
73,Colorado,Montezuma,20466703.0
74,Pennsylvania,Susquehanna,20346051.0
75,Texas,Nueces,20162269.0
76,West Virginia,Boone,19659072.0
77,Alabama,Tuscaloosa,18914266.0
78,Texas,Winkler,18600850.0
79,Texas,Hemphill,18530283.0
80,Texas,Irion,18248668.0
81,Louisiana,Caddo,18100037.0
82,West Virginia,Marshall,18061192.0
83,Arizona,Pima,17789917.0
84,Louisiana,Bossier,17762827.0
85,Alaska,Anchorage,17645535.0
86,Louisiana,Iberia,17619082.0
87,Ohio,Belmont,17587356.0
88,Utah,Uintah,17346854.0
89,Texas,Live Oak,17183494.0
90,Kentucky,Pike,16660342.0
91,Louisiana,Orleans,16252067.0
92,Louisiana,Vermilion,16167994.0
93,North Dakota,Mountrail,15408131.0
94,Texas,Starr,15390778.0
95,Louisiana,Lafourche,14704016.0
96,Pennsylvania,Bradford,14483098.0
