,State_Name,"Mining, quarrying, and oil and gas extraction",All industry total
0,Texas,3232167665.0,27747316979.0
1,Oklahoma,539133979.0,3352655728.0
2,Louisiana,377961867.0,4619186093.0
3,California,344406594.0,43157948812.0
4,Colorado,288929190.0,5672731644.0
5,Alaska,268394413.0,1023582006.0
6,Wyoming,216284268.0,745221067.0
7,Pennsylvania,206734421.0,12712977671.0
8,New Mexico,188705683.0,1727439457.0
9,West Virginia,187733716.0,1368648109.0
10,North Dakota,117956880.0,843837580.0
11,Arizona,111405126.0,5451681322.0
12,Kentucky,101127607.0,3503260933.0
13,Ohio,100390992.0,11050585609.0
14,Nevada,92695774.0,2675830530.0
15,Utah,77147300.0,2587100681.0
16,Alabama,61243251.0,3715380401.0
17,Illinois,52118324.0,14272976406.0
18,Montana,47428845.0,816680059.0
19,Minnesota,41277377.0,5937112699.0
20,Kansas,39891070.0,2768628989.0
21,Georgia,37227939.0,9270837114.0
22,Arkansas,36205967.0,2144831023.0
23,Indiana,35259298.0,6047130248.0
24,Florida,34707342.0,16376263119.0
25,Michigan,34600006.0,8751221738.0
26,Virginia,31752769.0,4962496978.0
27,Mississippi,29964193.0,1962813287.0
28,Missouri,25774658.0,5404601192.0
29,Tennessee,23066438.0,5658801050.0
30,New York,22166575.0,25602041434.0
31,North Carolina,20369437.0,8877145312.0
32,Idaho,17854055.0,1195185639.0
33,Wisconsin,16471991.0,5455278156.0
34,Washington,13800309.0,8035995714.0
35,New Jersey,9225869.0,10377287420.0
36,Iowa,9146909.0,3066035288.0
37,South Carolina,9142783.0,3613096100.0
38,Maryland,7852011.0,6473409500.0
39,Oregon,7328765.0,3530023236.0
40,Massachusetts,5348026.0,8634478001.0
41,Nebraska,4451401.0,1994470847.0
42,Connecticut,4339609.0,4802038421.0
43,Vermont,4160723.0,557328937.0
44,South Dakota,3455597.0,811967087.0
45,New Hampshire,2249582.0,1363499107.0
46,Hawaii,1728435.0,1247539153.0
47,Rhode Island,982089.0,1022247094.0
48,Maine,657357.0,1093021078.0
49,Delaware,137226.0,1222416300.0
50,District of Columbia,112937.0,2173850243.0
